company,year,list_date,listing_gain_close_pct,issue_size_cr,sub_day1_x,sub_day2_x,sub_day3_x,total_sub_x,sub_qib_x,sub_hni_x,sub_retail_x,sub_overall_x,gmp_day1_pct,gmp_day2_pct,gmp_day3_pct,gmp_day4_pct,gmp_day5_pct,nifty_ret_5d,nifty_ret_1m,nifty_drawdown,gmp_trend,sub_momentum,qib_vs_retail
Abans HoldingsIPO,2022,2022-12-23,-4.44,360.11,1.16,4.93,80.8,80.8,117.33,151.18,29.77,80.8,6.3,6.3,4.44,5.56,1.85,-2.5299687996058973,-2.520631184223132,-5.345913621262466,-4.449999999999999,3.9126984126984126,3.9280214261801136
Adani WilmarIPO,2022,2022-02-08,16.63,410.05,13.32,34.85,182.44,182.44,331.6,267.94,63.77,182.44,21.74,26.09,21.74,19.57,15.22,-1.7642524115526914,-2.70006029561759,-5.687919554732601,-6.519999999999998,2.5968703427719824,5.191795835290434
Aether IndustriesIPO,2022,2022-06-03,20.62,144.89,8.53,29.46,148.75,148.75,87.21,237.39,200.39,148.75,1.56,0.78,0.78,1.56,0.0,1.417830355695937,-0.5594330119441548,-9.4155046127124,-1.56,3.4136732329084594,0.4349842884931917
AGS Transact TechnologiesIPO,2022,2022-01-31,-12.0,260.15,17.71,54.55,227.51,227.51,242.4,501.63,101.52,227.51,11.43,11.43,17.14,11.43,11.43,-1.5740343926231137,0.7542929194718218,-5.288642731905546,0.0,3.062886019090398,2.3853572131470187
Archean Chemical IndustriesIPO,2022,2022-11-21,21.13,12500.0,0.35,1.11,16.69,16.69,55.47,9.99,1.41,16.69,14.74,14.74,14.74,17.2,18.43,-0.9231197300474947,3.8485842299543327,-1.3563538687590526,3.6899999999999995,2.4666666666666672,36.735099337748345
Bikaji Foods InternationalIPO,2022,2022-11-16,8.67,1590.0,0.09,0.35,2.26,2.26,3.12,1.31,1.29,2.26,25.0,25.0,23.33,13.33,10.0,1.3914743625048187,8.200724682400473,0.0,-15.0,1.8421052631578947,2.2446043165467624
Campus ActivewearIPO,2022,2022-05-09,22.6,3027.26,0.07,0.42,1.55,1.55,4.64,0.39,0.41,1.55,23.29,23.29,23.29,23.29,23.29,-4.681757983458601,-9.702050583269639,-10.958264374784921,0.0,2.4705882352941173,9.098039215686274
DCX SystemsIPO,2022,2022-11-11,35.75,119.0,6.97,12.94,86.03,86.03,99.76,143.14,53.71,86.03,31.4,31.4,31.4,33.82,33.82,1.6451832689846846,6.430601473232422,0.0,2.4200000000000017,1.8302687411598304,1.8539304961902991
DelhiveryIPO,2022,2022-05-24,10.11,858.7,0.62,0.83,1.29,1.29,1.03,1.45,1.82,1.29,4.11,2.05,1.03,1.03,1.03,-0.8250662697656064,-7.2872945965525515,-11.923410949251966,-3.08,1.1527777777777777,0.5364583333333333
Dharmaj Crop GuardIPO,2022,2022-12-08,13.92,3395.0,0.73,3.29,63.86,63.86,182.65,42.35,5.64,63.86,16.88,29.54,29.54,25.32,21.1,-1.079867109634558,2.2334476014679083,-1.079867109634558,4.220000000000002,3.9638554216867474,31.820557491289204
