Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Innova Captab Ltd.,"Fri, Dec 29, 2023",448,541.4,20.85,870.05,93.63
Azad Engineering Ltd.,"Thu, Dec 28, 2023",524,677.5,29.29,2175.8,313.83
RBZ Jewellers Ltd.,"Wed, Dec 27, 2023",100,105,5,128.91,29
Credo Brands Marketing Ltd.,"Wed, Dec 27, 2023",280,312.2,11.5,86.58,-68.98
Happy Forgings Ltd.,"Wed, Dec 27, 2023",850,1030.8,21.27,1351.2,59.24
Muthoot Microfin Ltd.,"Tue, Dec 26, 2023",291,266.15,-8.54,180.29,-38.11
Motisons Jewellers Ltd.,"Tue, Dec 26, 2023",55,103.55,88.27,11.42,108.18
Suraj Estate Developers Ltd.,"Tue, Dec 26, 2023",360,334.5,-7.08,183.78,-49
Inox India Ltd.,"Thu, Dec 21, 2023",660,939.95,42.42,1665.1,152.04
India Shelter Finance Corp.Ltd.,"Wed, Dec 20, 2023",493,544.7,10.49,740.7,50.35
DOMS Industries Ltd.,"Wed, Dec 20, 2023",790,1326.05,67.85,2086.3,164.15
Flair Writing Industries Ltd.,"Fri, Dec 1, 2023",304,450.9,48.32,285.05,-6.3
Tata Technologies Ltd.,"Thu, Nov 30, 2023",500,1313,162.6,779.6,55.86
Gandhar Oil Refinery (India) Ltd.,"Thu, Nov 30, 2023",169,301.4,78.34,157.58,-6.6
Fedbank Financial Services Ltd.,"Thu, Nov 30, 2023",140,140.25,0.18,153.4,9.43
Indian Renewable Energy Development Agency Ltd.,"Wed, Nov 29, 2023",32,60,87.5,120.16,275.47
ASK Automotive Ltd.,"Wed, Nov 15, 2023",282,310.1,9.96,425.4,50.83
Protean eGov Technologies Ltd.,"Mon, Nov 13, 2023",792,883,11.49,595.15,-24.82
ESAF Small Finance Bank Ltd.,"Fri, Nov 10, 2023",60,69.05,15.08,27.47,-54.28
Honasa Consumer Ltd.,"Tue, Nov 7, 2023",324,337.1,4.04,414.9,28.18
Cello World Ltd.,"Mon, Nov 6, 2023",648,791.7,22.18,380.4,-41.33
Blue Jet Healthcare Ltd.,"Wed, Nov 1, 2023",346,413.4,19.48,450.85,30.19
IRM Energy Ltd.,"Thu, Oct 26, 2023",505,473.15,-6.31,258.35,-48.84
Plaza Wires Ltd.,"Thu, Oct 12, 2023",54,80.2,48.52,47.31,-11.89
Valiant Laboratories Ltd.,"Fri, Oct 6, 2023",140,170.25,21.61,73.94,-46.58
Updater Services Ltd.,"Wed, Oct 4, 2023",300,283.9,-5.37,183.06,-38.9
JSW Infrastructure Ltd.,"Tue, Oct 3, 2023",119,157.3,32.18,268.45,125.5
Manoj Vaibhav Gems 'N' Jewellers Ltd.,"Tue, Oct 3, 2023",215,215.5,0.23,149.71,-30.44
Yatra Online Ltd.,"Thu, Sep 28, 2023",142,135.9,-4.3,96.4,-31.62
Sai Silks (Kalamandir) Ltd.,"Wed, Sep 27, 2023",222,244.9,10.32,103.93,-53.29
Signatureglobal (India) Ltd.,"Wed, Sep 27, 2023",385,458.55,19.1,806.15,109.99
SAMHI Hotels Ltd.,"Fri, Sep 22, 2023",126,143.4,13.81,159.28,26.11
Zaggle Prepaid Ocean Services Ltd.,"Fri, Sep 22, 2023",164,158.35,-3.45,196.33,19.88
EMS Ltd.,"Thu, Sep 21, 2023",211,279.9,32.65,320.95,52.84
R R Kabel Ltd.,"Wed, Sep 20, 2023",1035,1198.05,15.75,2154.6,108.13
Jupiter Life Line Hospitals Ltd.,"Mon, Sep 18, 2023",735,1075.75,46.36,1333.2,81.48
Ratnaveer Precision Engineering Ltd.,"Mon, Sep 11, 2023",98,129.35,31.99,162.7,66.94
Rishabh Instruments Ltd.,"Mon, Sep 11, 2023",441,443.15,0.49,508.95,15.54
Vishnu Prakash R.Punglia Ltd.,"Tue, Sep 5, 2023",99,145.7,47.17,29.36,-70.27
Aeroflex Industries Ltd.,"Thu, Aug 31, 2023",108,163.25,51.16,399,268.89
Pyramid Technoplast Ltd.,"Tue, Aug 29, 2023",166,177.65,7.02,161.62,-2.71
TVS Supply Chain Solutions Ltd.,"Wed, Aug 23, 2023",197,201,2.03,124.97,-36.32
Concord Biotech Ltd.,"Fri, Aug 18, 2023",741,942.8,27.23,1196.7,61.61
SBFC Finance Ltd.,"Wed, Aug 16, 2023",57,92.2,61.75,91.28,60.04
Yatharth Hospital & Trauma Care Services Ltd.,"Mon, Aug 7, 2023",300,333.85,11.28,817,172.08
Netweb Technologies India Ltd.,"Thu, Jul 27, 2023",500,910.4,82.08,4264.5,752.93
Utkarsh Small Finance Bank Ltd.,"Fri, Jul 21, 2023",25,48,92,12.35,-50.56
Senco Gold Ltd.,"Fri, Jul 14, 2023",317,405.3,27.85,343.1,116.18
Cyient DLM Ltd.,"Mon, Jul 10, 2023",265,420.6,58.72,435.2,63.85
ideaForge Technology Ltd.,"Fri, Jul 7, 2023",672,1294.95,92.7,938.75,39.58
HMA Agro Industries Ltd.,"Tue, Jul 4, 2023",585,585.65,0.11,23.3,-60.32
IKIO Lighting Ltd.,"Fri, Jun 16, 2023",285,403.85,41.7,150.55,-46.93
Nexus Select Trust,"Fri, May 19, 2023",100,104.29,4.29,156.64,56.64
Mankind Pharma Ltd.,"Tue, May 9, 2023",1080,1080,0,2357.4,118.37
Avalon Technologies Ltd.,"Tue, Apr 18, 2023",436,398,-8.72,1605.1,268.29
Udayshivakumar Infra Ltd.,"Mon, Apr 3, 2023",35,31.5,-10,26.08,-25.69
Global Surfaces Ltd.,"Thu, Mar 23, 2023",140,171.05,22.18,53.65,-61.76
Divgi TorqTransfer Systems Ltd.,"Tue, Mar 14, 2023",590,605.2,2.58,773.15,30.8
Sah Polymers Ltd.,"Thu, Jan 12, 2023",65,89.25,37.31,104.75,33.85
Radiant Cash Management Services Ltd.,"Wed, Jan 4, 2023",94,104.9,11.6,38.1,-59.65
