year,company,issue_price,listing_price,closing_price,listing_gain_open_pct,listing_gain_close_pct,day_change_after_pct,retail_quota_pct,total_sub_x,sub_qib_x,sub_hni_x,sub_retail_x,sub_overall_x,sub_day1_x,sub_day2_x,sub_day3_x,gmp_day1_rs,gmp_day1_pct,gmp_day2_pct,gmp_day3_pct,issue_size_cr,fresh_issue_cr,ofs_cr,ipo_pe,peer_pe,pe_vs_sector,ebitda_cr,debt_equity,ai_pred_pct,actual_gain_pct,slug,url,gmp_day2_rs,gmp_day3_rs,gmp_day4_rs,gmp_day4_pct,gmp_day5_rs,gmp_day5_pct
2022,Abans HoldingsIPO,270.0,216.05,258.0,-19.98,-4.44,15.54,35.0,80.8,117.33,151.18,29.77,80.8,1.16,4.93,80.8,17.0,6.3,6.3,4.44,360.11,360.11,0.0,25.69,16.89,1.17,8.83,1.6,,-20.0,abans-holdings,https://ipogyani.com/listed-ipo/2022/abans-holdings,17.0,12.0,15.0,5.56,5.0,1.85
2022,Adani WilmarIPO,230.0,268.25,268.25,16.63,16.63,0.0,35.0,182.44,331.6,267.94,63.77,182.44,13.32,34.85,182.44,50.0,21.74,26.09,21.74,410.05,210.0,200.05,38.46,59.06,1.45,18.36,0.32,,16.6,adani-wilmar,https://ipogyani.com/listed-ipo/2022/adani-wilmar,60.0,50.0,45.0,19.57,35.0,15.22
2022,Aether IndustriesIPO,642.0,774.38,774.4,20.62,20.62,0.0,10.0,148.75,87.21,237.39,200.39,148.75,8.53,29.46,148.75,10.0,1.56,0.78,0.78,144.89,144.89,0.0,14.7,33.0,1.29,20.68,1.45,,20.6,aether-industries,https://ipogyani.com/listed-ipo/2022/aether-industries,5.0,5.0,10.0,1.56,0.0,0.0
2022,AGS Transact TechnologiesIPO,175.0,161.05,154.0,-7.97,-12.0,-4.03,35.0,227.51,242.4,501.63,101.52,227.51,17.71,54.55,227.51,20.0,11.43,11.43,17.14,260.15,184.9,75.25,66.15,42.11,1.56,16.66,0.85,,-8.0,ags-transact-technologies,https://ipogyani.com/listed-ipo/2022/ags-transact-technologies,20.0,30.0,20.0,11.43,20.0,11.43
2022,Archean Chemical IndustriesIPO,407.0,458.16,493.0,12.57,21.13,8.56,35.0,16.69,55.47,9.99,1.41,16.69,0.35,1.11,16.69,60.0,14.74,14.74,14.74,12500.0,2500.0,10000.0,28.21,26.77,1.27,58.36,5.85,,12.6,archean-chemical-industries,https://ipogyani.com/listed-ipo/2022/archean-chemical-industries,60.0,60.0,70.0,17.2,75.0,18.43
2022,Bikaji Foods InternationalIPO,300.0,317.46,326.0,5.82,8.67,2.85,10.0,2.26,3.12,1.31,1.29,2.26,0.09,0.35,2.26,75.0,25.0,25.0,23.33,1590.0,1590.0,0.0,1340.16,72.95,1.19,312.4,0.91,,5.8,bikaji-foods-international,https://ipogyani.com/listed-ipo/2022/bikaji-foods-international,75.0,70.0,40.0,13.33,30.0,10.0
2022,Campus ActivewearIPO,292.0,378.9,358.0,29.76,22.6,-7.16,35.0,1.55,4.64,0.39,0.41,1.55,0.07,0.42,1.55,68.0,23.29,23.29,23.29,3027.26,300.0,2727.26,222.1,87.67,1.35,29.54,0.61,,29.8,campus-activewear,https://ipogyani.com/listed-ipo/2022/campus-activewear,68.0,68.0,68.0,23.29,68.0,23.29
2022,DCX SystemsIPO,207.0,308.45,281.0,49.01,35.75,-13.26,35.0,86.03,99.76,143.14,53.71,86.03,6.97,12.94,86.03,65.0,31.4,31.4,31.4,119.0,119.0,0.0,17.87,38.8,1.29,13.44,1.6,,49.0,dcx-systems,https://ipogyani.com/listed-ipo/2022/dcx-systems,65.0,65.0,70.0,33.82,70.0,33.82
2022,DelhiveryIPO,487.0,536.33,536.25,10.13,10.11,-0.02,10.0,1.29,1.03,1.45,1.82,1.29,0.62,0.83,1.29,20.0,4.11,2.05,1.03,858.7,225.0,633.7,32.86,247.47,1.27,12.68,0.2,,10.1,delhivery,https://ipogyani.com/listed-ipo/2022/delhivery,10.0,5.0,5.0,1.03,5.0,1.03
2022,Dharmaj Crop GuardIPO,237.0,266.29,270.0,12.36,13.92,1.57,35.0,63.86,182.65,42.35,5.64,63.86,0.73,3.29,63.86,40.0,16.88,29.54,29.54,3395.0,0.0,3395.0,70.63,71.86,1.38,36.81,0.05,,12.4,dharmaj-crop-guard,https://ipogyani.com/listed-ipo/2022/dharmaj-crop-guard,70.0,70.0,60.0,25.32,50.0,21.1
